"NASA instrument","Commons categories","Wikidata"
"PALSAR-2","",""
"Panoramic Camera","",""
"Parachute Deployment Device","",""
"Parks Telescope","",""
"Passive Active L-band System","",""
"Photoconductor Array Camera and Spectrometer","",""
"Photodetector Array Camera and Spectrometer","",""
"Photometer","",""
"Photopolarimeter Subsystem","",""
"Photopolarimeter-Radiometer","",""
"PIXL","",""
"Planck LFI-HFI","",""
"Planck Space Telescope","",""
"Planck Telescope","",""
"Planetary Instrument for X-RAY Lithochemistry (PIXL)","",""
"Plasma Instrument for Magnetic Sounding (PIMS)","",""
"Plasma Wave Instrument","",""
"Radar Imager for Mars' Subsurface Experiment (RIMFAX)","",""
"Radar Mapper","",""
"Radar System","",""
"Radiation Assessment Detector (RAD)","",""
"Radio and Plasma Wave Science Instrument","",""
"Radio Science Subsystem","",""
"Radio Telescope","",""
"Ralph Color Imager","",""
"RIME","",""
"RoboSimian","",""
"Robotic Arm","",""
"Robotic Arm (MSL)","",""
"Robotic Arm Camera","",""
"Robotic Arm Camera (RAC)","",""
"Rock Abrasion Tool (RAT)","",""
"Roman Coronagraph","",""
"ROsetta Lander Imaging System (ROLIS)","",""
"Rosetta NAVCAM","",""
"Rover Cameras","",""
"Rover Environmental Monitoring Station (REMS)","",""
"Sample Analysis at Mars (SAM)","",""
"Samuel Oschin Telescope","",""
"SAR","",""
"Scanning Habitable Environments with Raman & Luminescence for Organics and Chemicals (SHERLOC)","",""
"SeaWinds Scatterometer","",""
"SECCHI/Extreme Ultraviolet Imaging Telescope","",""
"Seismic Experiment for Interior Structure (SEIS)","",""
"Shallow Subsurface Radar (SHARAD)","",""
"SIR-C/X-SAR","",""
"Sloan Digital Sky Survey (SDSS)","",""
"Solid-State Imaging","",""
"Spaceborne Imaging Radar","",""
"Spectral and Photometric Imaging Receiver","",""
"SPIDER","",""
"Spitzer Space Telescope","",""
"SRU","",""
"Star Tracker","",""
"Stardust Capsule","",""
"Stardust Navigation Camera","",""
"Stellar Reference Unit (SRU-1)","",""
"Stellar Reference Unit (SRU)","",""
"Stereo Imager (SSI)","",""
"Subaru Telescope","",""
"SuperCam","",""
"Surface Stereo Imager (SSI)","",""
"Synthetic Aperture Radar (SAR)","",""
"Synthetic-Aperture Radar (SAR)","",""
"THEMIS","Photos by THEMIS","Q1108979"
"Thermal and Electrical Conductivity Probe","",""
"Thermal and Evolved Gas Analyzer","",""
"Thermal Emission Imaging System","Photos by THEMIS","Q1108979"
"Thermal Emission Spectrometer","",""
"Trace Gas Orbiter","",""
"TRAPPIST","",""
"Tropospheric Emission Spectrometer (TES)","",""
"TV Camera","",""
"Two Micron All Sky Survey (2MASS)","",""
"UAVSAR","",""
"Ultraviolet Imaging Spectrograph","",""
"Ultraviolet Imaging Spectrograph Subsystem (UVIS)","",""
"Ultraviolet Spectrograph","",""
"Ultraviolet Spectrograph (UVS)","",""
"Ultraviolet/Visible Camera","",""
"Urey: Mars Organic and Oxidant Detector","",""
"Very Large Array (VLA)","",""
"Very Large Telescope (VLT)","",""
"Very Long Baseline Array","",""
"VG Imaging Science Subsystem","",""
