"ESO category","Commons Category"
"Local Universe : Planet : Feature : Surface : Ice","Ice"
"Local Universe : Planet : Feature : Atmosphere","Planetary atmospheres"
"Local Universe : Planet : Feature : Atmosphere : Cloud","Clouds"
"Local Universe : Planet : Feature : Atmosphere : Storm","Storms"
"Local Universe : Planet : Feature : Atmosphere : Aurora","Polar aurora"
"Local Universe : Planet : Special Cases : Transiting","Astronomical transits"
"Local Universe : Planet : Special Cases : Hot Jupiter","Hot Jupiters"
"Local Universe : Planet : Special Cases : Pulsar planet","Pulsar planets"
"Local Universe : Planet : Satellite",
"Local Universe : Planet : Satellite : Feature : Surface","Surface features of moons"
"Local Universe : Planet : Satellite : Feature : Surface : Mountain","Extraterrestrial mountains"
"Local Universe : Planet : Satellite : Feature : Surface : Canyon","Extraterrestrial valleys and canyons"
"Local Universe : Planet : Satellite : Feature : Surface : Volcanic","Extraterrestrial volcanoes"
"Local Universe : Planet : Satellite : Feature : Surface : Impact","Impact craters on moons"
"Local Universe : Planet : Satellite : Feature : Surface : Erosion","Erosion"
"Local Universe : Planet : Satellite : Feature : Surface : Liquid","Liquid"
"Local Universe : Planet : Satellite : Feature : Surface : Ice","Ice"
"Local Universe : Planet : Satellite : Feature : Atmosphere","Planetary atmospheres"
"Local Universe : Planet : Ring","Planetary rings"
"Local Universe : Interplanetary Body",
"Local Universe : Interplanetary Body : Dwarf planet",
"Local Universe : Interplanetary Body : Comet","Comets"
"Local Universe : Interplanetary Body : Comet : Nucleus","Cometary nuclei"
"Local Universe : Interplanetary Body : Comet : Coma","Coma (cometary)"
"Local Universe : Interplanetary Body : Comet : Tail","Comet tail"
"Local Universe : Interplanetary Body : Comet : Tail : Dust","Comet tail"
"Local Universe : Interplanetary Body : Comet : Tail : Gas","Comet tail"
"Local Universe : Interplanetary Body : Asteroid",
"Local Universe : Interplanetary Body : Meteoroid",
"Local Universe : Star","Stars"
"Local Universe : Star : Evolutionary Stage : Protostar","Protostars"
"Local Universe : Star : Evolutionary Stage : Young Stellar Object","Young stellar objects"
"Local Universe : Star : Evolutionary Stage : Main Sequence","Main sequence stars"
"Local Universe : Star : Evolutionary Stage : Red Giant","Red giants"
"Local Universe : Star : Evolutionary Stage : Red Supergiant","Red supergiants"
"Local Universe : Star : Evolutionary Stage : Blue Supergiant","Blue supergiants"
"Local Universe : Star : Evolutionary Stage : White Dwarf","White dwarfs"
"Local Universe : Star : Evolutionary Stage : Supernova","Supernovae"
"Local Universe : Star : Evolutionary Stage : Neutron Star","Neutron stars"
"Local Universe : Star : Evolutionary Stage : Neutron Star : Pulsar","Pulsars"
"Local Universe : Star : Evolutionary Stage : Neutron Star : Magnetar","Magnetars"
"Local Universe : Star : Evolutionary Stage : Black Hole","Black holes"
"Local Universe : Star : Type : Variable","Variable stars"
"Local Universe : Star : Type : Variable : Pulsating","Pulsating variable stars"
"Local Universe : Star : Type : Variable : Irregular","Variable stars"
"Local Universe : Star : Type : Variable : Eclipsing","Eclipsing binary stars"
"Local Universe : Star : Type : Variable : Flare Star","Flare stars"
"Local Universe : Star : Type : Variable : Nova","Novae"
"Local Universe : Star : Type : Variable : X-Ray Binary (Star)","Variable stars"
"Local Universe : Star : Type : Carbon","C stars"
"Local Universe : Star : Type : Brown Dwarf","Brown dwarfs"
"Local Universe : Star : Type : Wolf-Rayet","Wolf-Rayet stars"
"Local Universe : Star : Type : Blue Straggler","Blue stragglers"
"Local Universe : Star : Type : Exotic","Exotic stars"
"Local Universe : Star : Type : Exotic : X-Ray Binary","Exotic stars"
"Local Universe : Star : Spectral Type : O","O stars"
"Local Universe : Star : Spectral Type : B","B stars"
"Local Universe : Star : Spectral Type : A","A stars"
"Local Universe : Star : Spectral Type : F","F stars"
"Local Universe : Star : Spectral Type : G","G stars"
"Local Universe : Star : Spectral Type : K","K stars"
"Local Universe : Star : Spectral Type : M","M stars"
"Local Universe : Star : Spectral Type : L","L stars"
"Local Universe : Star : Spectral Type : T","T stars"
"Local Universe : Star : Population : I","Stellar populations"
"Local Universe : Star : Population : II","Stellar populations"
"Local Universe : Star : Population : III","Stellar populations"
"Local Universe : Star : Feature : Photosphere","Photosphere"
"Local Universe : Star : Feature : Photosphere : Granulation","Granules (solar physics)"
"Local Universe : Star : Feature : Photosphere : Sunspot","Sunspots"
"Local Universe : Star : Feature : Chromosphere","Chromosphere"
"Local Universe : Star : Feature : Chromosphere : Flare","Solar flares"
"Local Universe : Star : Feature : Chromosphere : Facula","Solar faculae"
"Local Universe : Star : Feature : Corona","Solar corona"
"Local Universe : Star : Feature : Corona : Prominence","Prominence"
"Local Universe : Star : Grouping : Binary","Binary stars"
"Local Universe : Star : Grouping : Triple","Triple star systems"
"Local Universe : Star : Grouping : Multiple","Multiple star systems"
"Local Universe : Star : Grouping : Cluster","Star clusters"
"Local Universe : Star : Grouping : Cluster : Open","Open clusters"
"Local Universe : Star : Grouping : Cluster : Globular","Globular clusters"
"Local Universe : Star : Circumstellar Material","Circumstellar enveloppe"
"Local Universe : Star : Circumstellar Material : Planetary System","Planetary systems"
"Local Universe : Star : Circumstellar Material : Disk","Circumstellar discs"
"Local Universe : Star : Circumstellar Material : Disk : Protoplanetary","Protoplanetary disks"
"Local Universe : Star : Circumstellar Material : Disk : Accretion","Accretion disks"
"Local Universe : Star : Circumstellar Material : Disk : Debris","Debris disks"
"Local Universe : Star : Circumstellar Material : Outflow",
"Local Universe : Star : Circumstellar Material : Outflow : Solar Wind","Stellar wind"
"Local Universe : Star : Circumstellar Material : Outflow : Coronal Mass Ejection","Coronal mass ejection"
"Local Universe : Nebula","Nebulae"
"Local Universe : Nebula : Type : Interstellar Medium","Interstellar medium"
"Local Universe : Nebula : Type : Star Formation","Star formation"
"Local Universe : Nebula : Type : Planetary",
"Local Universe : Nebula : Type : Supernova Remnant","Supernova remnants"
"Local Universe : Nebula : Type : Jet",
"Local Universe : Nebula : Appearance : Emission","Emission nebulae"
"Local Universe : Nebula : Appearance : Emission : H II Region","H II regions"
"Local Universe : Nebula : Appearance : Reflection","Reflection nebulae"
"Local Universe : Nebula : Appearance : Reflection : Light Echo",
"Local Universe : Nebula : Appearance : Dark","Dark nebulae"
"Local Universe : Nebula : Appearance : Dark : Molecular Cloud","Molecular clouds"
"Local Universe : Nebula : Appearance : Dark : Bok Globule","Bok globules"
"Local Universe : Nebula : Appearance : Dark : Proplyd",
"Local Universe : Galaxy","Galaxies"
"Local Universe : Galaxy : Type : Spiral","Spiral galaxies"
"Local Universe : Galaxy : Type : Barred","Barred spiral galaxies"
"Local Universe : Galaxy : Type : Lenticular","Lenticular galaxies"
"Local Universe : Galaxy : Type : Elliptical","Elliptical galaxies"
"Local Universe : Galaxy : Type : Ring","Ring galaxies"
"Local Universe : Galaxy : Type : Irregular","Irregular galaxies"
"Local Universe : Galaxy : Type : Interacting","Interacting galaxies"
"Local Universe : Galaxy : Type : Gravitationally Lensed","Gravitational lensing"
"Local Universe : Galaxy : Size : Giant",
"Local Universe : Galaxy : Size : Dwarf","Dwarf galaxies"
"Local Universe : Galaxy : Activity : Normal",
"Local Universe : Galaxy : Activity : AGN","Active galactic nuclei"
"Local Universe : Galaxy : Activity : AGN : Quasar","Quasars"
"Local Universe : Galaxy : Activity : AGN : Seyfert","Seyfert galaxies"
"Local Universe : Galaxy : Activity : AGN : Blazar","Blazars"
"Local Universe : Galaxy : Activity : AGN : Liner",
"Local Universe : Galaxy : Activity : Starburst","Starburst galaxies"
"Local Universe : Galaxy : Activity : Ultraluminous","Ultraluminous X-ray source"
"Local Universe : Galaxy : Component : Bulge",
"Local Universe : Galaxy : Component : Bar",
"Local Universe : Galaxy : Component : Disk",
"Local Universe : Galaxy : Component : Halo",
"Local Universe : Galaxy : Component : Ring",
"Local Universe : Galaxy : Component : Central Black Hole","Black holes"
"Local Universe : Galaxy : Component : Spiral Arm",
"Local Universe : Galaxy : Component : Dust Lane",
"Local Universe : Galaxy : Component : Center/Core",
"Local Universe : Galaxy : Grouping : Pair",
"Local Universe : Galaxy : Grouping : Multiple",
"Local Universe : Galaxy : Grouping : Cluster","Galaxy clusters"
"Local Universe : Galaxy : Grouping : Supercluster",
"Local Universe : Cosmology","Cosmology"
"Local Universe : Cosmology : Morphology : Deep Field","Deep fields"
"Local Universe : Cosmology : Morphology : Large-Scale Structure","Large-scale structure of the cosmos"
"Local Universe : Cosmology : Morphology : Cosmic Background","Cosmic microwave background"
"Local Universe : Cosmology : Phenomenon : Lensing",
"Local Universe : Cosmology : Phenomenon : Gamma Ray Burst","Gamma ray bursts"
"Local Universe : Cosmology : Phenomenon : Dark Matter","Dark matter"
"Local Universe : Sky Phenomenon",
"Local Universe : Sky Phenomenon : Night Sky","Night sky"
"Local Universe : Sky Phenomenon : Night Sky : Constellation","Constellations"
"Local Universe : Sky Phenomenon : Night Sky : Asterism","Asterisms (astronomy)"
"Local Universe : Sky Phenomenon : Night Sky : Milky Way","Milky Way Galaxy"
"Local Universe : Sky Phenomenon : Night Sky : Trail",
"Local Universe : Sky Phenomenon : Night Sky : Trail : Meteor","Meteors"
"Local Universe : Sky Phenomenon : Night Sky : Trail : Star","Stars"
"Local Universe : Sky Phenomenon : Night Sky : Trail : Satellite","Satellites"
"Local Universe : Sky Phenomenon : Night Sky : Zodiacal Light","Zodiacal light"
"Local Universe : Sky Phenomenon : Night Sky : Zodiacal Light : Gegenschein",
"Local Universe : Sky Phenomenon : Night Sky : Night glow","Skyglow"
"Local Universe : Sky Phenomenon : Eclipse","Eclipse"
"Local Universe : Sky Phenomenon : Eclipse : Solar","Solar eclipse"
"Local Universe : Sky Phenomenon : Eclipse : Solar : Total",
"Local Universe : Sky Phenomenon : Eclipse : Solar : Partial",
"Local Universe : Sky Phenomenon : Eclipse : Solar : Annular",
"Local Universe : Sky Phenomenon : Eclipse : Lunar","Lunar eclipse"
"Local Universe : Sky Phenomenon : Eclipse : Lunar : Total",
"Local Universe : Sky Phenomenon : Eclipse : Lunar : Partial",
"Local Universe : Sky Phenomenon : Eclipse : Lunar : Penumbral",
"Local Universe : Sky Phenomenon : Eclipse : Occultation","Occultation"
"Local Universe : Sky Phenomenon : Eclipse : Transit","Astronomical transits"
"Local Universe : Sky Phenomenon : Light Phenomenon","Atmospheric optical phenomena"
"Local Universe : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset","Sunsets and sunrises"
"Local Universe : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Green flash","Green flash phenomena"
"Local Universe : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Refractive Distortion",
"Local Universe : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Sun Pillar","Sun pillars"
"Local Universe : Sky Phenomenon : Light Phenomenon : Cloud","Clouds"
"Local Universe : Sky Phenomenon : Light Phenomenon : Cloud : Iridescent","Iridescent clouds"
"Local Universe : Sky Phenomenon : Light Phenomenon : Cloud : Noctilucent","Noctilucent clouds"
"Local Universe : Sky Phenomenon : Light Phenomenon : Cloud : Nacreous",
"Local Universe : Sky Phenomenon : Light Phenomenon : Cloud : Corona",
"Local Universe : Sky Phenomenon : Light Phenomenon : Cloud : Glory",
"Local Universe : Sky Phenomenon : Light Phenomenon : Rainbow","Rainbows"
"Local Universe : Sky Phenomenon : Light Phenomenon : Rainbow : Moonbow","Moonbows"
"Local Universe : Sky Phenomenon : Light Phenomenon : Rainbow : Fogbow","Fogbow"
"Local Universe : Sky Phenomenon : Light Phenomenon : Halo","Halo phenomena"
"Local Universe : Sky Phenomenon : Light Phenomenon : Halo : Circle",
"Local Universe : Sky Phenomenon : Light Phenomenon : Halo : Parhelia","Parhelia"
"Local Universe : Sky Phenomenon : Light Phenomenon : Halo : Arc",
"Local Universe : Sky Phenomenon : Light Phenomenon : Ray-Shadow","Shadows (atmospheric optics)"
"Local Universe : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Crepuscular ray","Crepuscular rays"
"Local Universe : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Anti-crepuscular ray","Anticrepuscular rays"
"Local Universe : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Earth shadow",
"Local Universe : Sky Phenomenon : Light Phenomenon : Lightning","Lightning"
"Local Universe : Sky Phenomenon : Light Phenomenon : Aurora","Polar aurora"
"Local Universe : Technology",
"Local Universe : Technology : Observatory","Observatories"
"Local Universe : Technology : Observatory : Facility","Astronomical observatories"
"Local Universe : Technology : Observatory : Telescope","Telescopes"
"Local Universe : Technology : Observatory : Instrument","Astronomical instruments"
"Local Universe : Technology : Observatory : Detector",
"Local Universe : Technology : Spacecraft","Spacecraft"
"Local Universe : Technology : Spacecraft : Orbiter","Orbiters (spacecraft)"
"Local Universe : Technology : Spacecraft : Probe","Space probes"
"Local Universe : Technology : Spacecraft : Lander","Landers (spacecraft)"
"Local Universe : Technology : Spacecraft : Manned","Manned spacecraft"
"Local Universe : Technology : Spacecraft : Launch Vehicle","Space launch vehicles"
"Local Universe : People",
"Local Universe : People : Scientist","Scientists"
"Local Universe : People : Astronaut","Astronauts"
"Local Universe : People : Other/General",
"Early Universe",
"Early Universe : Planet",
"Early Universe : Planet : Type : Terrestrial",
"Early Universe : Planet : Type : Gas Giant","Gas giants"
"Early Universe : Planet : Feature : Surface",
"Early Universe : Planet : Feature : Surface : Mountain","Extraterrestrial mountains"
"Early Universe : Planet : Feature : Surface : Canyon","Extraterrestrial valleys and canyons"
"Early Universe : Planet : Feature : Surface : Volcanic","Extraterrestrial volcanoes"
"Early Universe : Planet : Feature : Surface : Impact",
"Early Universe : Planet : Feature : Surface : Erosion",
"Early Universe : Planet : Feature : Surface : Liquid",
"Early Universe : Planet : Feature : Surface : Ice",
"Early Universe : Planet : Feature : Atmosphere",
"Early Universe : Planet : Feature : Atmosphere : Cloud",
"Early Universe : Planet : Feature : Atmosphere : Storm",
"Early Universe : Planet : Feature : Atmosphere : Aurora",
"Early Universe : Planet : Special Cases : Transiting",
"Early Universe : Planet : Special Cases : Hot Jupiter","Hot Jupiters"
"Early Universe : Planet : Special Cases : Pulsar planet","Pulsar planets"
"Early Universe : Planet : Satellite",
"Early Universe : Planet : Satellite : Feature : Surface",
"Early Universe : Planet : Satellite : Feature : Surface : Mountain","Extraterrestrial mountains"
"Early Universe : Planet : Satellite : Feature : Surface : Canyon","Extraterrestrial valleys and canyons"
"Early Universe : Planet : Satellite : Feature : Surface : Volcanic","Extraterrestrial volcanoes"
"Early Universe : Planet : Satellite : Feature : Surface : Impact",
"Early Universe : Planet : Satellite : Feature : Surface : Erosion",
"Early Universe : Planet : Satellite : Feature : Surface : Liquid",
"Early Universe : Planet : Satellite : Feature : Surface : Ice",
"Early Universe : Planet : Satellite : Feature : Atmosphere",
"Early Universe : Planet : Ring",
"Early Universe : Interplanetary Body",
"Early Universe : Interplanetary Body : Dwarf planet",
"Early Universe : Interplanetary Body : Comet",
"Early Universe : Interplanetary Body : Comet : Nucleus","Cometary nuclei"
"Early Universe : Interplanetary Body : Comet : Coma","Coma (cometary)"
"Early Universe : Interplanetary Body : Comet : Tail","Comet tail"
"Early Universe : Interplanetary Body : Comet : Tail : Dust","Comet tail"
"Early Universe : Interplanetary Body : Comet : Tail : Gas","Comet tail"
"Early Universe : Interplanetary Body : Asteroid",
"Early Universe : Interplanetary Body : Meteoroid",
"Early Universe : Star",
"Early Universe : Star : Evolutionary Stage : Protostar",
"Early Universe : Star : Evolutionary Stage : Young Stellar Object",
"Early Universe : Star : Evolutionary Stage : Main Sequence",
"Early Universe : Star : Evolutionary Stage : Red Giant",
"Early Universe : Star : Evolutionary Stage : Red Supergiant",
"Early Universe : Star : Evolutionary Stage : Blue Supergiant",
"Early Universe : Star : Evolutionary Stage : White Dwarf",
"Early Universe : Star : Evolutionary Stage : Supernova",
"Early Universe : Star : Evolutionary Stage : Neutron Star",
"Early Universe : Star : Evolutionary Stage : Neutron Star : Pulsar","Pulsars"
"Early Universe : Star : Evolutionary Stage : Neutron Star : Magnetar",
"Early Universe : Star : Evolutionary Stage : Black Hole",
"Early Universe : Star : Type : Variable","Variable stars"
"Early Universe : Star : Type : Variable : Pulsating","Pulsating variable stars"
"Early Universe : Star : Type : Variable : Irregular","Variable stars"
"Early Universe : Star : Type : Variable : Eclipsing","Eclipsing binary stars"
"Early Universe : Star : Type : Variable : Flare Star","Flare stars"
"Early Universe : Star : Type : Variable : Nova","Novae"
"Early Universe : Star : Type : Variable : X-Ray Binary (Star)","Variable stars"
"Early Universe : Star : Type : Carbon",
"Early Universe : Star : Type : Brown Dwarf",
"Early Universe : Star : Type : Wolf-Rayet",
"Early Universe : Star : Type : Blue Straggler","Blue stragglers"
"Early Universe : Star : Type : Exotic","Exotic stars"
"Early Universe : Star : Type : Exotic : X-Ray Binary","Exotic stars"
"Early Universe : Star : Spectral Type : O",
"Early Universe : Star : Spectral Type : B",
"Early Universe : Star : Spectral Type : A",
"Early Universe : Star : Spectral Type : F",
"Early Universe : Star : Spectral Type : G",
"Early Universe : Star : Spectral Type : K",
"Early Universe : Star : Spectral Type : M",
"Early Universe : Star : Spectral Type : L",
"Early Universe : Star : Spectral Type : T",
"Early Universe : Star : Population : I","Stellar populations"
"Early Universe : Star : Population : II","Stellar populations"
"Early Universe : Star : Population : III","Stellar populations"
"Early Universe : Star : Feature : Photosphere",
"Early Universe : Star : Feature : Photosphere : Granulation","Granules (solar physics)"
"Early Universe : Star : Feature : Photosphere : Sunspot",
"Early Universe : Star : Feature : Chromosphere","Chromosphere"
"Early Universe : Star : Feature : Chromosphere : Flare","Solar flares"
"Early Universe : Star : Feature : Chromosphere : Facula","Solar faculae"
"Early Universe : Star : Feature : Corona",
"Early Universe : Star : Feature : Corona : Prominence",
"Early Universe : Star : Grouping : Binary",
"Early Universe : Star : Grouping : Triple","Triple star systems"
"Early Universe : Star : Grouping : Multiple",
"Early Universe : Star : Grouping : Cluster",
"Early Universe : Star : Grouping : Cluster : Open",
"Early Universe : Star : Grouping : Cluster : Globular",
"Early Universe : Star : Circumstellar Material","Circumstellar enveloppe"
"Early Universe : Star : Circumstellar Material : Planetary System","Planetary systems"
"Early Universe : Star : Circumstellar Material : Disk","Circumstellar discs"
"Early Universe : Star : Circumstellar Material : Disk : Protoplanetary","Protoplanetary disks"
"Early Universe : Star : Circumstellar Material : Disk : Accretion","Accretion disks"
"Early Universe : Star : Circumstellar Material : Disk : Debris","Debris disks"
"Early Universe : Star : Circumstellar Material : Outflow",
"Early Universe : Star : Circumstellar Material : Outflow : Solar Wind","Stellar wind"
"Early Universe : Star : Circumstellar Material : Outflow : Coronal Mass Ejection","Coronal mass ejection"
"Early Universe : Nebula",
"Early Universe : Nebula : Type : Interstellar Medium",
"Early Universe : Nebula : Type : Star Formation",
"Early Universe : Nebula : Type : Planetary",
"Early Universe : Nebula : Type : Supernova Remnant",
"Early Universe : Nebula : Type : Jet",
"Early Universe : Nebula : Appearance : Emission",
"Early Universe : Nebula : Appearance : Emission : H II Region",
"Early Universe : Nebula : Appearance : Reflection",
"Early Universe : Nebula : Appearance : Reflection : Light Echo",
"Early Universe : Nebula : Appearance : Dark",
"Early Universe : Nebula : Appearance : Dark : Molecular Cloud",
"Early Universe : Nebula : Appearance : Dark : Bok Globule",
"Early Universe : Nebula : Appearance : Dark : Proplyd",
"Early Universe : Galaxy",
"Early Universe : Galaxy : Type : Spiral",
"Early Universe : Galaxy : Type : Barred",
"Early Universe : Galaxy : Type : Lenticular",
"Early Universe : Galaxy : Type : Elliptical",
"Early Universe : Galaxy : Type : Ring",
"Early Universe : Galaxy : Type : Irregular",
"Early Universe : Galaxy : Type : Interacting",
"Early Universe : Galaxy : Type : Gravitationally Lensed",
"Early Universe : Galaxy : Size : Giant",
"Early Universe : Galaxy : Size : Dwarf",
"Early Universe : Galaxy : Activity : Normal",
"Early Universe : Galaxy : Activity : AGN",
"Early Universe : Galaxy : Activity : AGN : Quasar",
"Early Universe : Galaxy : Activity : AGN : Seyfert",
"Early Universe : Galaxy : Activity : AGN : Blazar",
"Early Universe : Galaxy : Activity : AGN : Liner",
"Early Universe : Galaxy : Activity : Starburst",
"Early Universe : Galaxy : Activity : Ultraluminous",
"Early Universe : Galaxy : Component : Bulge",
"Early Universe : Galaxy : Component : Bar",
"Early Universe : Galaxy : Component : Disk",
"Early Universe : Galaxy : Component : Halo",
"Early Universe : Galaxy : Component : Ring",
"Early Universe : Galaxy : Component : Central Black Hole",
"Early Universe : Galaxy : Component : Spiral Arm",
"Early Universe : Galaxy : Component : Dust Lane",
"Early Universe : Galaxy : Component : Center/Core",
"Early Universe : Galaxy : Grouping : Pair",
"Early Universe : Galaxy : Grouping : Multiple",
"Early Universe : Galaxy : Grouping : Cluster",
"Early Universe : Galaxy : Grouping : Supercluster",
"Early Universe : Cosmology",
"Early Universe : Cosmology : Morphology : Deep Field",
"Early Universe : Cosmology : Morphology : Large-Scale Structure",
"Early Universe : Cosmology : Morphology : Cosmic Background",
"Early Universe : Cosmology : Phenomenon : Lensing",
"Early Universe : Cosmology : Phenomenon : Gamma Ray Burst",
"Early Universe : Cosmology : Phenomenon : Dark Matter",
"Early Universe : Sky Phenomenon",
"Early Universe : Sky Phenomenon : Night Sky",
"Early Universe : Sky Phenomenon : Night Sky : Constellation",
"Early Universe : Sky Phenomenon : Night Sky : Asterism",
"Early Universe : Sky Phenomenon : Night Sky : Milky Way",
"Early Universe : Sky Phenomenon : Night Sky : Trail",
"Early Universe : Sky Phenomenon : Night Sky : Trail : Meteor",
"Early Universe : Sky Phenomenon : Night Sky : Trail : Star",
"Early Universe : Sky Phenomenon : Night Sky : Trail : Satellite",
"Early Universe : Sky Phenomenon : Night Sky : Zodiacal Light",
"Early Universe : Sky Phenomenon : Night Sky : Zodiacal Light : Gegenschein",
"Early Universe : Sky Phenomenon : Night Sky : Night glow",
"Early Universe : Sky Phenomenon : Eclipse",
"Early Universe : Sky Phenomenon : Eclipse : Solar",
"Early Universe : Sky Phenomenon : Eclipse : Solar : Total",
"Early Universe : Sky Phenomenon : Eclipse : Solar : Partial",
"Early Universe : Sky Phenomenon : Eclipse : Solar : Annular",
"Early Universe : Sky Phenomenon : Eclipse : Lunar",
"Early Universe : Sky Phenomenon : Eclipse : Lunar : Total",
"Early Universe : Sky Phenomenon : Eclipse : Lunar : Partial",
"Early Universe : Sky Phenomenon : Eclipse : Lunar : Penumbral",
"Early Universe : Sky Phenomenon : Eclipse : Occultation",
"Early Universe : Sky Phenomenon : Eclipse : Transit",
"Early Universe : Sky Phenomenon : Light Phenomenon",
"Early Universe : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset",
"Early Universe : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Green flash",
"Early Universe : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Refractive Distortion",
"Early Universe : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Sun Pillar",
"Early Universe : Sky Phenomenon : Light Phenomenon : Cloud",
"Early Universe : Sky Phenomenon : Light Phenomenon : Cloud : Iridescent",
"Early Universe : Sky Phenomenon : Light Phenomenon : Cloud : Noctilucent",
"Early Universe : Sky Phenomenon : Light Phenomenon : Cloud : Nacreous",
"Early Universe : Sky Phenomenon : Light Phenomenon : Cloud : Corona",
"Early Universe : Sky Phenomenon : Light Phenomenon : Cloud : Glory",
"Early Universe : Sky Phenomenon : Light Phenomenon : Rainbow",
"Early Universe : Sky Phenomenon : Light Phenomenon : Rainbow : Moonbow",
"Early Universe : Sky Phenomenon : Light Phenomenon : Rainbow : Fogbow",
"Early Universe : Sky Phenomenon : Light Phenomenon : Halo",
"Early Universe : Sky Phenomenon : Light Phenomenon : Halo : Circle",
"Early Universe : Sky Phenomenon : Light Phenomenon : Halo : Parhelia",
"Early Universe : Sky Phenomenon : Light Phenomenon : Halo : Arc",
"Early Universe : Sky Phenomenon : Light Phenomenon : Ray-Shadow",
"Early Universe : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Crepuscular ray",
"Early Universe : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Anti-crepuscular ray",
"Early Universe : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Earth shadow",
"Early Universe : Sky Phenomenon : Light Phenomenon : Lightning",
"Early Universe : Sky Phenomenon : Light Phenomenon : Aurora",
"Early Universe : Technology",
"Early Universe : Technology : Observatory",
"Early Universe : Technology : Observatory : Facility",
"Early Universe : Technology : Observatory : Telescope",
"Early Universe : Technology : Observatory : Instrument",
"Early Universe : Technology : Observatory : Detector",
"Early Universe : Technology : Spacecraft",
"Early Universe : Technology : Spacecraft : Orbiter",
"Early Universe : Technology : Spacecraft : Probe",
"Early Universe : Technology : Spacecraft : Lander",
"Early Universe : Technology : Spacecraft : Manned",
"Early Universe : Technology : Spacecraft : Launch Vehicle",
"Early Universe : People",
"Early Universe : People : Scientist",
"Early Universe : People : Astronaut",
"Early Universe : People : Other/General",
"Unspecified : Planet",
"Unspecified : Planet : Type : Terrestrial",
"Unspecified : Planet : Type : Gas Giant","Gas giants"
"Unspecified : Planet : Feature : Surface",
"Unspecified : Planet : Feature : Surface : Mountain","Extraterrestrial mountains"
"Unspecified : Planet : Feature : Surface : Canyon","Extraterrestrial valleys and canyons"
"Unspecified : Planet : Feature : Surface : Volcanic","Extraterrestrial volcanoes"
"Unspecified : Planet : Feature : Surface : Impact",
"Unspecified : Planet : Feature : Surface : Erosion",
"Unspecified : Planet : Feature : Surface : Liquid",
"Unspecified : Planet : Feature : Surface : Ice",
"Unspecified : Planet : Feature : Atmosphere",
"Unspecified : Planet : Feature : Atmosphere : Cloud",
"Unspecified : Planet : Feature : Atmosphere : Storm",
"Unspecified : Planet : Feature : Atmosphere : Aurora",
"Unspecified : Planet : Special Cases : Transiting",
"Unspecified : Planet : Special Cases : Hot Jupiter","Hot Jupiters"
"Unspecified : Planet : Special Cases : Pulsar planet","Pulsar planets"
"Unspecified : Planet : Satellite",
"Unspecified : Planet : Satellite : Feature : Surface",
"Unspecified : Planet : Satellite : Feature : Surface : Mountain","Extraterrestrial mountains"
"Unspecified : Planet : Satellite : Feature : Surface : Canyon","Extraterrestrial valleys and canyons"
"Unspecified : Planet : Satellite : Feature : Surface : Volcanic","Extraterrestrial volcanoes"
"Unspecified : Planet : Satellite : Feature : Surface : Impact",
"Unspecified : Planet : Satellite : Feature : Surface : Erosion",
"Unspecified : Planet : Satellite : Feature : Surface : Liquid",
"Unspecified : Planet : Satellite : Feature : Surface : Ice",
"Unspecified : Planet : Satellite : Feature : Atmosphere",
"Unspecified : Planet : Ring",
"Unspecified : Interplanetary Body",
"Unspecified : Interplanetary Body : Dwarf planet",
"Unspecified : Interplanetary Body : Comet",
"Unspecified : Interplanetary Body : Comet : Nucleus","Cometary nuclei"
"Unspecified : Interplanetary Body : Comet : Coma","Coma (cometary)"
"Unspecified : Interplanetary Body : Comet : Tail","Comet tail"
"Unspecified : Interplanetary Body : Comet : Tail : Dust","Comet tail"
"Unspecified : Interplanetary Body : Comet : Tail : Gas","Comet tail"
"Unspecified : Interplanetary Body : Asteroid",
"Unspecified : Interplanetary Body : Meteoroid",
"Unspecified : Star",
"Unspecified : Star : Evolutionary Stage : Protostar",
"Unspecified : Star : Evolutionary Stage : Young Stellar Object",
"Unspecified : Star : Evolutionary Stage : Main Sequence",
"Unspecified : Star : Evolutionary Stage : Red Giant",
"Unspecified : Star : Evolutionary Stage : Red Supergiant",
"Unspecified : Star : Evolutionary Stage : Blue Supergiant",
"Unspecified : Star : Evolutionary Stage : White Dwarf",
"Unspecified : Star : Evolutionary Stage : Supernova",
"Unspecified : Star : Evolutionary Stage : Neutron Star",
"Unspecified : Star : Evolutionary Stage : Neutron Star : Pulsar","Pulsars"
"Unspecified : Star : Evolutionary Stage : Neutron Star : Magnetar",
